latency_ms,memory_delta_bytes
37.69769996870309,0
40.020399959757924,0
44.281399925239384,0
35.48089996911585,0
28.31209998112172,0
21.658699959516525,0
22.89049990940839,0
21.705100079998374,0
20.14199993573129,0
21.2421000469476,0
28.691599960438907,0
26.21519996318966,0
29.400100000202656,0
28.37890002410859,0
20.80449997447431,0
28.26910000294447,0
36.91450005862862,0
46.56649997923523,0
38.50669995881617,0
34.0220999205485,0
30.51660000346601,0
39.70999992452562,0
33.72740000486374,0
35.95879999920726,0
32.08499995525926,0
32.06609992776066,0
31.910100020468235,0
21.04800008237362,0
23.774700006470084,0
22.418800042942166,0
21.623100037686527,0
20.085399970412254,0
20.66659997217357,0
20.69530007429421,0
21.58689999487251,0
20.152200013399124,0
21.540200104936957,0
25.198200019076467,0
25.071399984881282,0
23.29560008365661,0
22.419899934902787,0
30.9271999867633,0
20.694400067441165,0
19.925300031900406,0
21.636600024066865,0
22.092500003054738,0
22.51749997958541,0
28.88390002772212,0
26.393700041808188,0
33.02950004581362,0
26.188199990428984,0
22.556299925781786,0
19.726499915122986,0
20.218700054101646,0
19.719299976713955,0
22.26390002761036,0
20.600900053977966,0
26.559700025245547,0
23.59170001000166,0
23.567299940623343,0
22.96940004453063,0
21.915100049227476,0
21.72009996138513,0
33.17589999642223,0
38.74230000656098,0
38.118200027383864,0
34.24160007853061,0
41.601100005209446,0
41.92780004814267,0
28.378000017255545,0
34.348799963481724,0
36.498599918559194,0
35.339699941687286,0
33.9867000002414,0
28.287099907174706,0
28.911600005812943,0
28.33859995007515,0
21.144600003026426,0
22.68080005887896,0
31.288799946196377,0
35.23269994184375,0
25.55950009264052,0
30.939800082705915,0
31.14310000091791,0
25.103799998760223,0
23.052999982610345,0
27.6024000486359,0
26.08530002180487,0
23.57229997869581,0
22.7992000291124,0
26.834600022993982,0
28.214499936439097,0
21.934399963356555,0
23.918100050650537,0
26.225299923680723,0
21.164899924769998,0
21.150400047190487,0
20.64180001616478,0
26.122699957340956,0
22.305099992081523,0
23.53260002564639,0
26.746500050649047,0
28.52990000974387,0
24.933299981057644,0
24.92220001295209,0
27.819900074973702,0
35.37599998526275,0
32.853899989277124,0
35.77529999893159,0
37.740400061011314,0
35.77820002101362,0
30.469999997876585,0
54.23900007735938,0
29.723700019530952,0
31.313100014813244,0
35.44249990954995,0
33.77360000740737,0
23.209900013171136,0
24.355700006708503,0
21.27450006082654,0
25.670499890111387,0
24.448799900710583,0
23.39780004695058,0
23.723300080746412,0
29.110200004652143,0
27.448899927549064,0
22.124999901279807,0
23.74590002000332,0
29.289399972185493,0
20.482300082221627,0
20.79999994020909,0
22.88309996947646,0
33.01940008532256,0
27.147799963131547,0
24.164100061170757,0
34.142800024710596,0
22.70129998214543,0
26.485599926672876,0
24.112000013701618,0
21.191800013184547,0
23.261900059878826,0
26.597199961543083,0
24.32930003851652,0
39.331000065431,0
37.08580008242279,0
41.17039998527616,0
34.41429999656975,0
36.82779998052865,0
51.649600034579635,0
42.499200091697276,0
42.87280002608895,0
40.41639994829893,0
38.596399943344295,0
38.071699906140566,0
30.885100015439093,0
41.064999997615814,0
43.3792999247089,0
57.830499950796366,0
39.831899921409786,0
36.541099892929196,0
32.9508000286296,0
30.231400043703616,0
24.572200025431812,0
23.893700097687542,0
23.92930001951754,0
21.43570000771433,0
20.23549994919449,0
21.728100022301078,0
30.020999955013394,0
19.626100081950426,0
21.202099975198507,0
19.675999996252358,0
18.77230009995401,0
21.47429995238781,0
23.09240004979074,0
21.554699982516468,0
20.72749997023493,0
20.28009993955493,0
29.141200007870793,0
31.451000017113984,0
20.51429997663945,0
20.06999996956438,0
21.725900005549192,0
25.25259996764362,0
32.076000003144145,0
25.93529992736876,0
25.0063999556005,0
27.255999972112477,0
27.435800060629845,0
28.86770002078265,0
31.93289996124804,0
37.80729998834431,0
36.89550003036857,0
32.21930004656315,0
34.93189997971058,0
30.89900000486523,0
33.68029999546707,0
29.26169999409467,0
30.329199973493814,0
279.8604000126943,-389120
28.019299963489175,323584
27.502699987962842,0
28.568799956701696,0
27.891000034287572,0
27.539299917407334,0
27.388500049710274,0
26.99210005812347,0
26.749999960884452,0
26.88560006208718,0
28.191399993374944,0
28.009300003759563,0
29.72710004542023,0
29.764499980956316,0
25.890199933201075,0
28.18569994997233,0
27.139500016346574,0
26.693199994042516,0
27.64220000244677,0
25.36960004363209,0
26.582399965263903,0
25.407699984498322,0
27.797400020062923,0
28.553300071507692,0
27.250499930232763,0
27.554200030863285,0
27.789599960669875,0
43.82470005657524,0
32.38950006198138,0
32.86610008217394,0
31.216299976222217,0
35.538199939765036,0
32.953400048427284,69632
42.08519996609539,0
64.95669996365905,-4096
40.983499959111214,0
51.51380004826933,0
42.31510008685291,0
31.04550007265061,0
27.025500079616904,0
27.98299991991371,0
26.608299929648638,0
26.119900052435696,0
28.290500049479306,0
27.288799989037216,0
27.732999995350838,0
28.98289996664971,0
39.983300026506186,0
